[[83, 45, 61, 84, 5, 60, 89], [87, 57, 2, 58], [28, 29, 78, 34, 35, 3, 77], [73, 22, 72, 54, 24, 80, 12], [42, 15, 41, 75, 56, 74, 21], [94, 96, 99, 6], [65, 71, 81, 20, 32, 70], [50, 33, 30, 51, 9, 66, 1], [40, 53], [92, 37, 98, 85, 16, 86, 91, 97, 13], [62, 88, 8, 46, 17, 93, 59], [63, 64, 90, 10, 31], [27, 69, 76, 79, 68], [52, 7, 11, 19, 49, 48, 82], [14, 44, 38, 43, 100, 95], [36, 47, 18], [39, 23, 67, 55, 4, 25, 26], [92, 98, 14, 44, 38, 86, 16, 61, 85, 91, 100, 37], [42, 43, 15, 57, 41, 74, 72, 73, 21, 58], [7, 19, 11, 8, 46, 47, 48, 82, 18, 89], [71, 65, 78, 34, 35, 81, 77, 28], [26, 39, 23, 67, 55, 24, 29, 3], [27, 69, 30, 9, 66, 20, 51, 1], [2, 22, 75, 56, 4, 25, 54], [36, 64, 49, 63, 90, 32, 70], [52, 62, 88, 84, 17, 93, 59], [50, 33, 76, 79, 10, 31], [60, 45, 83, 5, 99, 6], [94, 96, 95, 97, 87, 13], [40, 53, 12, 68, 80]]
[[94, 96, 99, 6], [2, 22, 75, 56, 4, 25, 54], [83, 45, 61, 84, 5, 60, 89], [50, 33, 76, 79, 10, 31], [87, 57, 2, 58], [50, 33, 30, 51, 9, 66, 1], [36, 47, 18], [63, 64, 90, 10, 31], [40, 53], [7, 19, 11, 8, 46, 47, 48, 82, 18, 89], [92, 37, 98, 85, 16, 86, 91, 97, 13], [28, 29, 78, 34, 35, 3, 77], [52, 7, 11, 19, 49, 48, 82], [62, 88, 8, 46, 17, 93, 59], [40, 53, 12, 68, 80], [65, 71, 81, 20, 32, 70], [27, 69, 76, 79, 68], [14, 44, 38, 43, 100, 95], [71, 65, 78, 34, 35, 81, 77, 28], [26, 39, 23, 67, 55, 24, 29, 3], [27, 69, 30, 9, 66, 20, 51, 1], [42, 15, 41, 75, 56, 74, 21], [60, 45, 83, 5, 99, 6], [94, 96, 95, 97, 87, 13], [42, 43, 15, 57, 41, 74, 72, 73, 21, 58], [39, 23, 67, 55, 4, 25, 26], [73, 22, 72, 54, 24, 80, 12], [36, 64, 49, 63, 90, 32, 70], [52, 62, 88, 84, 17, 93, 59], [92, 98, 14, 44, 38, 86, 16, 61, 85, 91, 100, 37]]

[[62, 88, 8, 46, 17, 93, 59], [63, 64, 90, 10, 31], [60, 45, 83, 5, 99, 6], [14, 44, 38, 43, 100, 95], [42, 15, 41, 75, 56, 74, 21], [52, 7, 11, 19, 49, 48, 82], [87, 57, 2, 58], [27, 69, 30, 9, 66, 20, 51, 1], [94, 96, 99, 6], [26, 39, 23, 67, 55, 24, 29, 3], [92, 98, 14, 44, 38, 86, 16, 61, 85, 91, 100, 37], [83, 45, 61, 84, 5, 60, 89], [65, 71, 81, 20, 32, 70], [40, 53, 12, 68, 80], [2, 22, 75, 56, 4, 25, 54], [40, 53], [36, 64, 49, 63, 90, 32, 70], [39, 23, 67, 55, 4, 25, 26], [27, 69, 76, 79, 68], [36, 47, 18], [28, 29, 78, 34, 35, 3, 77], [42, 43, 15, 57, 41, 74, 72, 73, 21, 58], [92, 37, 98, 85, 16, 86, 91, 97, 13], [7, 19, 11, 8, 46, 47, 48, 82, 18, 89], [71, 65, 78, 34, 35, 81, 77, 28], [50, 33, 76, 79, 10, 31], [50, 33, 30, 51, 9, 66, 1], [94, 96, 95, 97, 87, 13], [73, 22, 72, 54, 24, 80, 12], [52, 62, 88, 84, 17, 93, 59]]

[[50, 33, 76, 79, 10, 31], [71, 65, 78, 34, 35, 81, 77, 28], [73, 22, 72, 54, 24, 80, 12], [27, 69, 30, 9, 66, 20, 51, 1], [28, 29, 78, 34, 35, 3, 77], [50, 33, 30, 51, 9, 66, 1], [83, 45, 61, 84, 5, 60, 89], [42, 43, 15, 57, 41, 74, 72, 73, 21, 58], [26, 39, 23, 67, 55, 24, 29, 3], [94, 96, 95, 97, 87, 13], [14, 44, 38, 43, 100, 95], [52, 62, 88, 84, 17, 93, 59], [40, 53, 12, 68, 80], [36, 47, 18], [52, 7, 11, 19, 49, 48, 82], [36, 64, 49, 63, 90, 32, 70], [40, 53], [87, 57, 2, 58], [92, 37, 98, 85, 16, 86, 91, 97, 13], [65, 71, 81, 20, 32, 70], [92, 98, 14, 44, 38, 86, 16, 61, 85, 91, 100, 37], [42, 15, 41, 75, 56, 74, 21], [60, 45, 83, 5, 99, 6], [63, 64, 90, 10, 31], [2, 22, 75, 56, 4, 25, 54], [27, 69, 76, 79, 68], [62, 88, 8, 46, 17, 93, 59], [39, 23, 67, 55, 4, 25, 26], [7, 19, 11, 8, 46, 47, 48, 82, 18, 89], [94, 96, 99, 6]]

[[39, 23, 67, 55, 4, 25, 26], [42, 15, 41, 75, 56, 74, 21], [28, 29, 78, 34, 35, 3, 77], [26, 39, 23, 67, 55, 24, 29, 3], [60, 45, 83, 5, 99, 6], [71, 65, 78, 34, 35, 81, 77, 28], [27, 69, 30, 9, 66, 20, 51, 1], [36, 47, 18], [65, 71, 81, 20, 32, 70], [94, 96, 99, 6], [62, 88, 8, 46, 17, 93, 59], [83, 45, 61, 84, 5, 60, 89], [40, 53], [40, 53, 12, 68, 80], [92, 37, 98, 85, 16, 86, 91, 97, 13], [7, 19, 11, 8, 46, 47, 48, 82, 18, 89], [50, 33, 30, 51, 9, 66, 1], [2, 22, 75, 56, 4, 25, 54], [52, 7, 11, 19, 49, 48, 82], [92, 98, 14, 44, 38, 86, 16, 61, 85, 91, 100, 37], [63, 64, 90, 10, 31], [42, 43, 15, 57, 41, 74, 72, 73, 21, 58], [52, 62, 88, 84, 17, 93, 59], [27, 69, 76, 79, 68], [50, 33, 76, 79, 10, 31], [94, 96, 95, 97, 87, 13], [87, 57, 2, 58], [73, 22, 72, 54, 24, 80, 12], [14, 44, 38, 43, 100, 95], [36, 64, 49, 63, 90, 32, 70]]

[[42, 43, 15, 57, 41, 74, 72, 73, 21, 58], [52, 62, 88, 84, 17, 93, 59], [14, 44, 38, 43, 100, 95], [50, 33, 76, 79, 10, 31], [87, 57, 2, 58], [50, 33, 30, 51, 9, 66, 1], [26, 39, 23, 67, 55, 24, 29, 3], [7, 19, 11, 8, 46, 47, 48, 82, 18, 89], [36, 64, 49, 63, 90, 32, 70], [60, 45, 83, 5, 99, 6], [27, 69, 76, 79, 68], [83, 45, 61, 84, 5, 60, 89], [28, 29, 78, 34, 35, 3, 77], [94, 96, 95, 97, 87, 13], [63, 64, 90, 10, 31], [2, 22, 75, 56, 4, 25, 54], [71, 65, 78, 34, 35, 81, 77, 28], [94, 96, 99, 6], [39, 23, 67, 55, 4, 25, 26], [27, 69, 30, 9, 66, 20, 51, 1], [36, 47, 18], [42, 15, 41, 75, 56, 74, 21], [92, 37, 98, 85, 16, 86, 91, 97, 13], [40, 53, 12, 68, 80], [52, 7, 11, 19, 49, 48, 82], [65, 71, 81, 20, 32, 70], [73, 22, 72, 54, 24, 80, 12], [40, 53], [92, 98, 14, 44, 38, 86, 16, 61, 85, 91, 100, 37], [62, 88, 8, 46, 17, 93, 59]]

[[60, 45, 83, 5, 99, 6], [52, 7, 11, 19, 49, 48, 82], [40, 53], [62, 88, 8, 46, 17, 93, 59], [92, 37, 98, 85, 16, 86, 91, 97, 13], [42, 15, 41, 75, 56, 74, 21], [27, 69, 30, 9, 66, 20, 51, 1], [40, 53, 12, 68, 80], [36, 64, 49, 63, 90, 32, 70], [63, 64, 90, 10, 31], [94, 96, 99, 6], [50, 33, 30, 51, 9, 66, 1], [94, 96, 95, 97, 87, 13], [83, 45, 61, 84, 5, 60, 89], [52, 62, 88, 84, 17, 93, 59], [28, 29, 78, 34, 35, 3, 77], [73, 22, 72, 54, 24, 80, 12], [27, 69, 76, 79, 68], [42, 43, 15, 57, 41, 74, 72, 73, 21, 58], [36, 47, 18], [2, 22, 75, 56, 4, 25, 54], [87, 57, 2, 58], [65, 71, 81, 20, 32, 70], [7, 19, 11, 8, 46, 47, 48, 82, 18, 89], [50, 33, 76, 79, 10, 31], [71, 65, 78, 34, 35, 81, 77, 28], [26, 39, 23, 67, 55, 24, 29, 3], [39, 23, 67, 55, 4, 25, 26], [14, 44, 38, 43, 100, 95], [92, 98, 14, 44, 38, 86, 16, 61, 85, 91, 100, 37]]

[[27, 69, 30, 9, 66, 20, 51, 1], [71, 65, 78, 34, 35, 81, 77, 28], [92, 98, 14, 44, 38, 86, 16, 61, 85, 91, 100, 37], [7, 19, 11, 8, 46, 47, 48, 82, 18, 89], [73, 22, 72, 54, 24, 80, 12], [94, 96, 99, 6], [39, 23, 67, 55, 4, 25, 26], [42, 15, 41, 75, 56, 74, 21], [40, 53, 12, 68, 80], [60, 45, 83, 5, 99, 6], [65, 71, 81, 20, 32, 70], [52, 62, 88, 84, 17, 93, 59], [36, 64, 49, 63, 90, 32, 70], [42, 43, 15, 57, 41, 74, 72, 73, 21, 58], [50, 33, 76, 79, 10, 31], [14, 44, 38, 43, 100, 95], [83, 45, 61, 84, 5, 60, 89], [92, 37, 98, 85, 16, 86, 91, 97, 13], [36, 47, 18], [2, 22, 75, 56, 4, 25, 54], [87, 57, 2, 58], [62, 88, 8, 46, 17, 93, 59], [40, 53], [94, 96, 95, 97, 87, 13], [63, 64, 90, 10, 31], [50, 33, 30, 51, 9, 66, 1], [26, 39, 23, 67, 55, 24, 29, 3], [28, 29, 78, 34, 35, 3, 77], [27, 69, 76, 79, 68], [52, 7, 11, 19, 49, 48, 82]]

[[73, 22, 72, 54, 24, 80, 12], [65, 71, 81, 20, 32, 70], [2, 22, 75, 56, 4, 25, 54], [83, 45, 61, 84, 5, 60, 89], [39, 23, 67, 55, 4, 25, 26], [42, 15, 41, 75, 56, 74, 21], [7, 19, 11, 8, 46, 47, 48, 82, 18, 89], [52, 7, 11, 19, 49, 48, 82], [36, 47, 18], [71, 65, 78, 34, 35, 81, 77, 28], [40, 53], [27, 69, 76, 79, 68], [92, 98, 14, 44, 38, 86, 16, 61, 85, 91, 100, 37], [52, 62, 88, 84, 17, 93, 59], [36, 64, 49, 63, 90, 32, 70], [50, 33, 30, 51, 9, 66, 1], [27, 69, 30, 9, 66, 20, 51, 1], [94, 96, 95, 97, 87, 13], [92, 37, 98, 85, 16, 86, 91, 97, 13], [63, 64, 90, 10, 31], [94, 96, 99, 6], [60, 45, 83, 5, 99, 6], [14, 44, 38, 43, 100, 95], [28, 29, 78, 34, 35, 3, 77], [26, 39, 23, 67, 55, 24, 29, 3], [42, 43, 15, 57, 41, 74, 72, 73, 21, 58], [50, 33, 76, 79, 10, 31], [62, 88, 8, 46, 17, 93, 59], [40, 53, 12, 68, 80], [87, 57, 2, 58]]

[[92, 37, 98, 85, 16, 86, 91, 97, 13], [52, 7, 11, 19, 49, 48, 82], [63, 64, 90, 10, 31], [27, 69, 76, 79, 68], [40, 53, 12, 68, 80], [71, 65, 78, 34, 35, 81, 77, 28], [92, 98, 14, 44, 38, 86, 16, 61, 85, 91, 100, 37], [7, 19, 11, 8, 46, 47, 48, 82, 18, 89], [28, 29, 78, 34, 35, 3, 77], [73, 22, 72, 54, 24, 80, 12], [2, 22, 75, 56, 4, 25, 54], [83, 45, 61, 84, 5, 60, 89], [52, 62, 88, 84, 17, 93, 59], [94, 96, 99, 6], [50, 33, 30, 51, 9, 66, 1], [36, 47, 18], [26, 39, 23, 67, 55, 24, 29, 3], [40, 53], [14, 44, 38, 43, 100, 95], [65, 71, 81, 20, 32, 70], [27, 69, 30, 9, 66, 20, 51, 1], [50, 33, 76, 79, 10, 31], [42, 15, 41, 75, 56, 74, 21], [60, 45, 83, 5, 99, 6], [36, 64, 49, 63, 90, 32, 70], [62, 88, 8, 46, 17, 93, 59], [87, 57, 2, 58], [94, 96, 95, 97, 87, 13], [42, 43, 15, 57, 41, 74, 72, 73, 21, 58], [39, 23, 67, 55, 4, 25, 26]]

[[7, 19, 11, 8, 46, 47, 48, 82, 18, 89], [26, 39, 23, 67, 55, 24, 29, 3], [28, 29, 78, 34, 35, 3, 77], [92, 98, 14, 44, 38, 86, 16, 61, 85, 91, 100, 37], [36, 47, 18], [27, 69, 76, 79, 68], [40, 53], [50, 33, 30, 51, 9, 66, 1], [42, 43, 15, 57, 41, 74, 72, 73, 21, 58], [92, 37, 98, 85, 16, 86, 91, 97, 13], [50, 33, 76, 79, 10, 31], [42, 15, 41, 75, 56, 74, 21], [2, 22, 75, 56, 4, 25, 54], [52, 62, 88, 84, 17, 93, 59], [40, 53, 12, 68, 80], [39, 23, 67, 55, 4, 25, 26], [63, 64, 90, 10, 31], [65, 71, 81, 20, 32, 70], [14, 44, 38, 43, 100, 95], [73, 22, 72, 54, 24, 80, 12], [71, 65, 78, 34, 35, 81, 77, 28], [83, 45, 61, 84, 5, 60, 89], [60, 45, 83, 5, 99, 6], [94, 96, 95, 97, 87, 13], [87, 57, 2, 58], [94, 96, 99, 6], [52, 7, 11, 19, 49, 48, 82], [27, 69, 30, 9, 66, 20, 51, 1], [62, 88, 8, 46, 17, 93, 59], [36, 64, 49, 63, 90, 32, 70]]

[[71, 65, 78, 34, 35, 81, 77, 28], [92, 37, 98, 85, 16, 86, 91, 97, 13], [2, 22, 75, 56, 4, 25, 54], [40, 53], [63, 64, 90, 10, 31], [39, 23, 67, 55, 4, 25, 26], [83, 45, 61, 84, 5, 60, 89], [52, 62, 88, 84, 17, 93, 59], [26, 39, 23, 67, 55, 24, 29, 3], [40, 53, 12, 68, 80], [28, 29, 78, 34, 35, 3, 77], [36, 47, 18], [65, 71, 81, 20, 32, 70], [52, 7, 11, 19, 49, 48, 82], [42, 15, 41, 75, 56, 74, 21], [92, 98, 14, 44, 38, 86, 16, 61, 85, 91, 100, 37], [27, 69, 30, 9, 66, 20, 51, 1], [36, 64, 49, 63, 90, 32, 70], [87, 57, 2, 58], [50, 33, 30, 51, 9, 66, 1], [94, 96, 99, 6], [94, 96, 95, 97, 87, 13], [62, 88, 8, 46, 17, 93, 59], [60, 45, 83, 5, 99, 6], [50, 33, 76, 79, 10, 31], [14, 44, 38, 43, 100, 95], [7, 19, 11, 8, 46, 47, 48, 82, 18, 89], [73, 22, 72, 54, 24, 80, 12], [27, 69, 76, 79, 68], [42, 43, 15, 57, 41, 74, 72, 73, 21, 58]]

