[[92, 42, 43, 15, 41, 22, 75, 56, 74, 72, 73, 58], [59, 37, 91, 44, 14, 38, 86, 16, 17, 5, 60], [47, 36, 46, 8, 84, 61, 85, 98, 100, 93, 96], [83, 45, 99, 6, 87, 57, 2, 13, 97, 95, 94], [52, 7, 62, 11, 64, 49, 19, 48, 82, 18, 89], [27, 76, 3, 79, 78, 34, 35, 81, 77, 28], [26, 21, 39, 23, 67, 55, 4, 25, 54], [69, 30, 88, 31, 10, 63, 90, 32, 70], [50, 33, 65, 71, 9, 66, 20, 51, 1], [53, 40, 12, 68, 29, 24, 80]]
[[50, 33, 65, 71, 9, 66, 20, 51, 1], [52, 7, 62, 11, 64, 49, 19, 48, 82, 18, 89], [59, 37, 91, 44, 14, 38, 86, 16, 17, 5, 60], [53, 40, 12, 68, 29, 24, 80], [92, 42, 43, 15, 41, 22, 75, 56, 74, 72, 73, 58], [27, 76, 3, 79, 78, 34, 35, 81, 77, 28], [69, 30, 88, 31, 10, 63, 90, 32, 70], [83, 45, 99, 6, 87, 57, 2, 13, 97, 95, 94], [26, 21, 39, 23, 67, 55, 4, 25, 54], [47, 36, 46, 8, 84, 61, 85, 98, 100, 93, 96]]

[[92, 42, 43, 15, 41, 22, 75, 56, 74, 72, 73, 58], [50, 33, 65, 71, 9, 66, 20, 51, 1], [59, 37, 91, 44, 14, 38, 86, 16, 17, 5, 60], [83, 45, 99, 6, 87, 57, 2, 13, 97, 95, 94], [53, 40, 12, 68, 29, 24, 80], [52, 7, 62, 11, 64, 49, 19, 48, 82, 18, 89], [69, 30, 88, 31, 10, 63, 90, 32, 70], [27, 76, 3, 79, 78, 34, 35, 81, 77, 28], [26, 21, 39, 23, 67, 55, 4, 25, 54], [47, 36, 46, 8, 84, 61, 85, 98, 100, 93, 96]]

[[53, 40, 12, 68, 29, 24, 80], [59, 37, 91, 44, 14, 38, 86, 16, 17, 5, 60], [69, 30, 88, 31, 10, 63, 90, 32, 70], [26, 21, 39, 23, 67, 55, 4, 25, 54], [27, 76, 3, 79, 78, 34, 35, 81, 77, 28], [50, 33, 65, 71, 9, 66, 20, 51, 1], [52, 7, 62, 11, 64, 49, 19, 48, 82, 18, 89], [92, 42, 43, 15, 41, 22, 75, 56, 74, 72, 73, 58], [47, 36, 46, 8, 84, 61, 85, 98, 100, 93, 96], [83, 45, 99, 6, 87, 57, 2, 13, 97, 95, 94]]

[[52, 7, 62, 11, 64, 49, 19, 48, 82, 18, 89], [50, 33, 65, 71, 9, 66, 20, 51, 1], [26, 21, 39, 23, 67, 55, 4, 25, 54], [69, 30, 88, 31, 10, 63, 90, 32, 70], [47, 36, 46, 8, 84, 61, 85, 98, 100, 93, 96], [27, 76, 3, 79, 78, 34, 35, 81, 77, 28], [92, 42, 43, 15, 41, 22, 75, 56, 74, 72, 73, 58], [83, 45, 99, 6, 87, 57, 2, 13, 97, 95, 94], [59, 37, 91, 44, 14, 38, 86, 16, 17, 5, 60], [53, 40, 12, 68, 29, 24, 80]]

[[47, 36, 46, 8, 84, 61, 85, 98, 100, 93, 96], [59, 37, 91, 44, 14, 38, 86, 16, 17, 5, 60], [92, 42, 43, 15, 41, 22, 75, 56, 74, 72, 73, 58], [83, 45, 99, 6, 87, 57, 2, 13, 97, 95, 94], [27, 76, 3, 79, 78, 34, 35, 81, 77, 28], [52, 7, 62, 11, 64, 49, 19, 48, 82, 18, 89], [53, 40, 12, 68, 29, 24, 80], [50, 33, 65, 71, 9, 66, 20, 51, 1], [26, 21, 39, 23, 67, 55, 4, 25, 54], [69, 30, 88, 31, 10, 63, 90, 32, 70]]

[[83, 45, 99, 6, 87, 57, 2, 13, 97, 95, 94], [47, 36, 46, 8, 84, 61, 85, 98, 100, 93, 96], [59, 37, 91, 44, 14, 38, 86, 16, 17, 5, 60], [53, 40, 12, 68, 29, 24, 80], [27, 76, 3, 79, 78, 34, 35, 81, 77, 28], [26, 21, 39, 23, 67, 55, 4, 25, 54], [92, 42, 43, 15, 41, 22, 75, 56, 74, 72, 73, 58], [50, 33, 65, 71, 9, 66, 20, 51, 1], [52, 7, 62, 11, 64, 49, 19, 48, 82, 18, 89], [69, 30, 88, 31, 10, 63, 90, 32, 70]]

[[59, 37, 91, 44, 14, 38, 86, 16, 17, 5, 60], [53, 40, 12, 68, 29, 24, 80], [47, 36, 46, 8, 84, 61, 85, 98, 100, 93, 96], [27, 76, 3, 79, 78, 34, 35, 81, 77, 28], [26, 21, 39, 23, 67, 55, 4, 25, 54], [92, 42, 43, 15, 41, 22, 75, 56, 74, 72, 73, 58], [50, 33, 65, 71, 9, 66, 20, 51, 1], [69, 30, 88, 31, 10, 63, 90, 32, 70], [52, 7, 62, 11, 64, 49, 19, 48, 82, 18, 89], [83, 45, 99, 6, 87, 57, 2, 13, 97, 95, 94]]

[[27, 76, 3, 79, 78, 34, 35, 81, 77, 28], [47, 36, 46, 8, 84, 61, 85, 98, 100, 93, 96], [69, 30, 88, 31, 10, 63, 90, 32, 70], [50, 33, 65, 71, 9, 66, 20, 51, 1], [26, 21, 39, 23, 67, 55, 4, 25, 54], [52, 7, 62, 11, 64, 49, 19, 48, 82, 18, 89], [59, 37, 91, 44, 14, 38, 86, 16, 17, 5, 60], [53, 40, 12, 68, 29, 24, 80], [83, 45, 99, 6, 87, 57, 2, 13, 97, 95, 94], [92, 42, 43, 15, 41, 22, 75, 56, 74, 72, 73, 58]]

[[27, 76, 3, 79, 78, 34, 35, 81, 77, 28], [26, 21, 39, 23, 67, 55, 4, 25, 54], [83, 45, 99, 6, 87, 57, 2, 13, 97, 95, 94], [59, 37, 91, 44, 14, 38, 86, 16, 17, 5, 60], [69, 30, 88, 31, 10, 63, 90, 32, 70], [53, 40, 12, 68, 29, 24, 80], [50, 33, 65, 71, 9, 66, 20, 51, 1], [92, 42, 43, 15, 41, 22, 75, 56, 74, 72, 73, 58], [52, 7, 62, 11, 64, 49, 19, 48, 82, 18, 89], [47, 36, 46, 8, 84, 61, 85, 98, 100, 93, 96]]

[[69, 30, 88, 31, 10, 63, 90, 32, 70], [59, 37, 91, 44, 14, 38, 86, 16, 17, 5, 60], [53, 40, 12, 68, 29, 24, 80], [26, 21, 39, 23, 67, 55, 4, 25, 54], [47, 36, 46, 8, 84, 61, 85, 98, 100, 93, 96], [92, 42, 43, 15, 41, 22, 75, 56, 74, 72, 73, 58], [83, 45, 99, 6, 87, 57, 2, 13, 97, 95, 94], [52, 7, 62, 11, 64, 49, 19, 48, 82, 18, 89], [27, 76, 3, 79, 78, 34, 35, 81, 77, 28], [50, 33, 65, 71, 9, 66, 20, 51, 1]]

[[27, 76, 3, 79, 78, 34, 35, 81, 77, 28], [47, 36, 46, 8, 84, 61, 85, 98, 100, 93, 96], [52, 7, 62, 11, 64, 49, 19, 48, 82, 18, 89], [59, 37, 91, 44, 14, 38, 86, 16, 17, 5, 60], [50, 33, 65, 71, 9, 66, 20, 51, 1], [69, 30, 88, 31, 10, 63, 90, 32, 70], [53, 40, 12, 68, 29, 24, 80], [26, 21, 39, 23, 67, 55, 4, 25, 54], [83, 45, 99, 6, 87, 57, 2, 13, 97, 95, 94], [92, 42, 43, 15, 41, 22, 75, 56, 74, 72, 73, 58]]

[[53, 40, 12, 68, 29, 24, 80], [26, 21, 39, 23, 67, 55, 4, 25, 54], [47, 36, 46, 8, 84, 61, 85, 98, 100, 93, 96], [52, 7, 62, 11, 64, 49, 19, 48, 82, 18, 89], [50, 33, 65, 71, 9, 66, 20, 51, 1], [59, 37, 91, 44, 14, 38, 86, 16, 17, 5, 60], [83, 45, 99, 6, 87, 57, 2, 13, 97, 95, 94], [92, 42, 43, 15, 41, 22, 75, 56, 74, 72, 73, 58], [27, 76, 3, 79, 78, 34, 35, 81, 77, 28], [69, 30, 88, 31, 10, 63, 90, 32, 70]]

[[59, 37, 91, 44, 14, 38, 86, 16, 17, 5, 60], [26, 21, 39, 23, 67, 55, 4, 25, 54], [52, 7, 62, 11, 64, 49, 19, 48, 82, 18, 89], [27, 76, 3, 79, 78, 34, 35, 81, 77, 28], [83, 45, 99, 6, 87, 57, 2, 13, 97, 95, 94], [47, 36, 46, 8, 84, 61, 85, 98, 100, 93, 96], [92, 42, 43, 15, 41, 22, 75, 56, 74, 72, 73, 58], [69, 30, 88, 31, 10, 63, 90, 32, 70], [53, 40, 12, 68, 29, 24, 80], [50, 33, 65, 71, 9, 66, 20, 51, 1]]

[[53, 40, 12, 68, 29, 24, 80], [69, 30, 88, 31, 10, 63, 90, 32, 70], [27, 76, 3, 79, 78, 34, 35, 81, 77, 28], [50, 33, 65, 71, 9, 66, 20, 51, 1], [59, 37, 91, 44, 14, 38, 86, 16, 17, 5, 60], [52, 7, 62, 11, 64, 49, 19, 48, 82, 18, 89], [83, 45, 99, 6, 87, 57, 2, 13, 97, 95, 94], [26, 21, 39, 23, 67, 55, 4, 25, 54], [92, 42, 43, 15, 41, 22, 75, 56, 74, 72, 73, 58], [47, 36, 46, 8, 84, 61, 85, 98, 100, 93, 96]]

[[26, 21, 39, 23, 67, 55, 4, 25, 54], [59, 37, 91, 44, 14, 38, 86, 16, 17, 5, 60], [53, 40, 12, 68, 29, 24, 80], [83, 45, 99, 6, 87, 57, 2, 13, 97, 95, 94], [47, 36, 46, 8, 84, 61, 85, 98, 100, 93, 96], [50, 33, 65, 71, 9, 66, 20, 51, 1], [52, 7, 62, 11, 64, 49, 19, 48, 82, 18, 89], [92, 42, 43, 15, 41, 22, 75, 56, 74, 72, 73, 58], [27, 76, 3, 79, 78, 34, 35, 81, 77, 28], [69, 30, 88, 31, 10, 63, 90, 32, 70]]

[[92, 42, 43, 15, 41, 22, 75, 56, 74, 72, 73, 58], [52, 7, 62, 11, 64, 49, 19, 48, 82, 18, 89], [47, 36, 46, 8, 84, 61, 85, 98, 100, 93, 96], [53, 40, 12, 68, 29, 24, 80], [59, 37, 91, 44, 14, 38, 86, 16, 17, 5, 60], [83, 45, 99, 6, 87, 57, 2, 13, 97, 95, 94], [26, 21, 39, 23, 67, 55, 4, 25, 54], [50, 33, 65, 71, 9, 66, 20, 51, 1], [69, 30, 88, 31, 10, 63, 90, 32, 70], [27, 76, 3, 79, 78, 34, 35, 81, 77, 28]]

[[52, 7, 62, 11, 64, 49, 19, 48, 82, 18, 89], [53, 40, 12, 68, 29, 24, 80], [92, 42, 43, 15, 41, 22, 75, 56, 74, 72, 73, 58], [47, 36, 46, 8, 84, 61, 85, 98, 100, 93, 96], [26, 21, 39, 23, 67, 55, 4, 25, 54], [27, 76, 3, 79, 78, 34, 35, 81, 77, 28], [83, 45, 99, 6, 87, 57, 2, 13, 97, 95, 94], [69, 30, 88, 31, 10, 63, 90, 32, 70], [50, 33, 65, 71, 9, 66, 20, 51, 1], [59, 37, 91, 44, 14, 38, 86, 16, 17, 5, 60]]

[[27, 76, 3, 79, 78, 34, 35, 81, 77, 28], [53, 40, 12, 68, 29, 24, 80], [83, 45, 99, 6, 87, 57, 2, 13, 97, 95, 94], [59, 37, 91, 44, 14, 38, 86, 16, 17, 5, 60], [47, 36, 46, 8, 84, 61, 85, 98, 100, 93, 96], [26, 21, 39, 23, 67, 55, 4, 25, 54], [69, 30, 88, 31, 10, 63, 90, 32, 70], [52, 7, 62, 11, 64, 49, 19, 48, 82, 18, 89], [50, 33, 65, 71, 9, 66, 20, 51, 1], [92, 42, 43, 15, 41, 22, 75, 56, 74, 72, 73, 58]]

